offence,occurrenceyear,MCI,Division,Hood_ID,Neighbourhood,Long,Lat
Robbery - Mugging,2016.0,Robbery,D52,78,Kensington-Chinatown (78),-79.3935089,43.6560135
Assault,2016.0,Assault,D11,88,High Park North (88),-79.452713,43.6572876
Robbery - Purse Snatch,2016.0,Robbery,D32,32,Englemount-Lawrence (32),-79.4382401,43.7302818
B&E,2016.0,Break and Enter,D41,119,Wexford/Maryvale (119),-79.3105621,43.759903
B&E,2016.0,Break and Enter,D22,16,Stonegate-Queensway (16),-79.5087662,43.64085770000001
Theft Over - Shoplifting,2016.0,Theft Over,D51,77,Waterfront Communities-The Island (77),-79.37138370000002,43.6430626
B&E,2016.0,Break and Enter,D14,80,Palmerston-Little Italy (80),-79.41146090000002,43.6624298
Discharge Firearm With Intent,2016.0,Assault,D31,24,Black Creek (24),-79.51969150000002,43.7659111
Robbery With Weapon,2016.0,Robbery,D31,27,York University Heights (27),-79.50267029999998,43.7653809
Theft Over,2016.0,Theft Over,D41,124,Kennedy Park (124),-79.25560759999998,43.7350769
Assault - Force/Thrt/Impede,2016.0,Assault,D54,44,Flemingdon Park (44),-79.335228,43.7193336
Assault,2016.0,Assault,D14,95,Annex (95),-79.41398620000002,43.67214970000001
Robbery With Weapon,2016.0,Robbery,D31,27,York University Heights (27),-79.50267029999998,43.7653809
Robbery - Delivery Person,2016.0,Robbery,D55,62,East End-Danforth (62),-79.3001556,43.6839523
B&E,2016.0,Break and Enter,D23,4,Rexdale-Kipling (4),-79.5642776,43.7297096
Unlawfully In Dwelling-House,2016.0,Break and Enter,D11,91,Weston-Pellam Park (91),-79.4532547,43.670723
Assault,2016.0,Assault,D23,4,Rexdale-Kipling (4),-79.56716159999998,43.717556
Assault,2016.0,Assault,D32,36,Newtonbrook West (36),-79.4365463,43.7828865
Assault,2016.0,Assault,D41,120,Clairlea-Birchmount (120),-79.26812740000003,43.7070007
Assault With Weapon,2016.0,Assault,D51,71,Cabbagetown-South St.James Town (71),-79.3730621,43.6631927
Robbery - Purse Snatch,2016.0,Robbery,D13,108,Briar Hill-Belgravia (108),-79.4593353,43.695755
Assault,2016.0,Assault,D14,82,Niagara (82),-79.3997192,43.6349525
Assault,2016.0,Assault,D32,51,Willowdale East (51),-79.39098359999998,43.7703171
B&E,2016.0,Break and Enter,D22,9,Edenbridge-Humber Valley (9),-79.5114594,43.6839638
Assault,2016.0,Assault,D42,132,Malvern (132),-79.2200775,43.8132553
Robbery With Weapon,2016.0,Robbery,D41,126,Dorset Park (126),-79.28771970000003,43.7642632
Robbery With Weapon,2016.0,Robbery,D41,126,Dorset Park (126),-79.28771970000003,43.7642632
Assault,2016.0,Assault,D33,42,Banbury-Don Mills (42),-79.3323364,43.7311211
Assault,2016.0,Assault,D55,62,East End-Danforth (62),-79.3015976,43.68767929999999
B&E,2016.0,Break and Enter,D23,5,Elms-Old Rexdale (5),-79.5559845,43.7169495
Robbery - Other,2016.0,Robbery,D42,132,Malvern (132),-79.2257462,43.8122215
Assault,2016.0,Assault,D42,117,L'Amoreaux (117),-79.3157654,43.7967758
Assault,2016.0,Assault,D13,109,Caledonia-Fairbank (109),-79.46054840000002,43.689003
Assault With Weapon,2016.0,Assault,D22,9,Edenbridge-Humber Valley (9),-79.5114594,43.6839638
Assault,2016.0,Assault,D14,81,Trinity-Bellwoods (81),-79.41886140000003,43.644207
B&E,2016.0,Break and Enter,D42,116,Steeles (116),-79.3083344,43.8156776
Assault,2016.0,Assault,D51,75,Church-Yonge Corridor (75),-79.3785324,43.65985870000001
B&E,2016.0,Break and Enter,D42,129,Agincourt North (129),-79.2662048,43.8049393
Robbery - Swarming,2016.0,Robbery,D51,71,Cabbagetown-South St.James Town (71),-79.3772125,43.6636009
Robbery - Other,2016.0,Robbery,D51,75,Church-Yonge Corridor (75),-79.38052370000003,43.66465
B&E W'Intent,2016.0,Break and Enter,D52,78,Kensington-Chinatown (78),-79.3906631,43.6524124
Robbery - Mugging,2016.0,Robbery,D42,131,Rouge (131),-79.2110214,43.8179092
B&E,2016.0,Break and Enter,D22,14,Islington-City Centre West (14),-79.5489807,43.6488075
Robbery - Purse Snatch,2016.0,Robbery,D41,127,Bendale (127),-79.2587891,43.7490158
Assault With Weapon,2016.0,Assault,D31,26,Downsview-Roding-CFB (26),-79.4845428,43.7368889
Aggravated Assault,2016.0,Assault,D31,26,Downsview-Roding-CFB (26),-79.4845428,43.7368889
Assault With Weapon,2016.0,Assault,D12,29,Maple Leaf (29),-79.4818802,43.709774
Assault,2016.0,Assault,D12,29,Maple Leaf (29),-79.4818802,43.709774
Assault With Weapon,2016.0,Assault,D23,1,West Humber-Clairville (1),-79.6034622,43.7191582
Assault With Weapon,2016.0,Assault,D31,27,York University Heights (27),-79.4887619,43.7545166
Assault With Weapon,2016.0,Assault,D31,27,York University Heights (27),-79.4887619,43.7545166
Assault With Weapon,2016.0,Assault,D41,127,Bendale (127),-79.252037,43.745491
Assault With Weapon,2016.0,Assault,D41,127,Bendale (127),-79.252037,43.745491
Assault,2016.0,Assault,D43,131,Rouge (131),-79.1316223,43.7807045
Assault,2016.0,Assault,D42,118,Tam O'Shanter-Sullivan (118),-79.3177872,43.7710342
B&E,2016.0,Break and Enter,D42,118,Tam O'Shanter-Sullivan (118),-79.3177872,43.7710342
Assault Peace Officer,2016.0,Assault,D32,36,Newtonbrook West (36),-79.4160004,43.7816391
Assault,2016.0,Assault,D14,80,Palmerston-Little Italy (80),-79.4206772,43.65928270000001
Assault - Resist/ Prevent Seiz,2016.0,Assault,D14,81,Trinity-Bellwoods (81),-79.40772249999998,43.65648270000001
Assault,2016.0,Assault,D11,90,Junction Area (90),-79.48200229999998,43.66934970000001
Robbery - Vehicle Jacking,2016.0,Robbery,D54,54,O'Connor-Parkview (54),-79.3013992,43.7002602
Robbery - Vehicle Jacking,2016.0,Robbery,D54,54,O'Connor-Parkview (54),-79.3013992,43.7002602
Assault,2016.0,Assault,D11,93,Dovercourt-Wallace Emerson-Junction (93),-79.4392929,43.6633987
Assault,2016.0,Assault,D31,26,Downsview-Roding-CFB (26),-79.48204040000002,43.7463875
B&E,2016.0,Break and Enter,D32,34,Bathurst Manor (34),-79.4414063,43.75494000000001
Assault With Weapon,2016.0,Assault,D54,61,Taylor-Massey (61),-79.29733279999998,43.6949196
Assault With Weapon,2016.0,Assault,D54,61,Taylor-Massey (61),-79.29733279999998,43.6949196
Assault,2016.0,Assault,D54,61,Taylor-Massey (61),-79.29733279999998,43.6949196
Assault,2016.0,Assault,D51,71,Cabbagetown-South St.James Town (71),-79.3730621,43.6631927
B&E,2016.0,Break and Enter,D54,58,Old East York (58),-79.3348465,43.6965981
Assault,2016.0,Assault,D11,88,High Park North (88),-79.452713,43.6572876
B&E,2016.0,Break and Enter,D32,35,Westminster-Branson (35),-79.4460526,43.7859192
B&E,2016.0,Break and Enter,D33,46,Pleasant View (46),-79.3381958,43.7891693
Discharge Firearm - Recklessly,2016.0,Assault,D53,95,Annex (95),-79.39984129999998,43.6743774
B&E,2016.0,Break and Enter,D55,64,Woodbine Corridor (64),-79.3181,43.6759338
B&E,2016.0,Break and Enter,D33,52,Bayview Village (52),-79.3709183,43.76948170000001
Assault,2016.0,Assault,D12,30,Brookhaven-Amesbury (30),-79.4780655,43.7086601
Assault With Weapon,2016.0,Assault,D31,25,Glenfield-Jane Heights (25),-79.5160751,43.7507401
Assault With Weapon,2016.0,Assault,D31,25,Glenfield-Jane Heights (25),-79.5160751,43.7507401
Assault,2016.0,Assault,D43,136,West Hill (136),-79.19947049999998,43.7654495
Assault,2016.0,Assault,D41,119,Wexford/Maryvale (119),-79.2947083,43.7350082
B&E,2016.0,Break and Enter,D55,68,North Riverdale (68),-79.3494568,43.666153
Assault,2016.0,Assault,D32,34,Bathurst Manor (34),-79.4500351,43.758312200000006
B&E,2016.0,Break and Enter,D52,77,Waterfront Communities-The Island (77),-79.3920593,43.64537429999999
Theft From Mail / Bag / Key,2016.0,Theft Over,D31,21,Humber Summit (21),-79.5598526,43.7498055
Pointing A Firearm,2016.0,Assault,D41,121,Oakridge (121),-79.27674870000001,43.6937523
Assault,2016.0,Assault,D41,138,Eglinton East (138),-79.2531891,43.7355843
Robbery - Mugging,2016.0,Robbery,D32,26,Downsview-Roding-CFB (26),-79.4589157,43.7320938
Discharge Firearm With Intent,2016.0,Assault,D32,32,Englemount-Lawrence (32),-79.4451828,43.7192154
Discharge Firearm With Intent,2016.0,Assault,D32,32,Englemount-Lawrence (32),-79.4451828,43.7192154
Discharge Firearm With Intent,2016.0,Assault,D32,32,Englemount-Lawrence (32),-79.4451828,43.7192154
B&E W'Intent,2016.0,Break and Enter,D42,116,Steeles (116),-79.3255081,43.80781939999999
Robbery - Business,2016.0,Robbery,D51,73,Moss Park (73),-79.3723907,43.6581726
Theft From Mail / Bag / Key,2016.0,Theft Over,D51,75,Church-Yonge Corridor (75),-79.3824921,43.6694145
Assault With Weapon,2016.0,Assault,D41,121,Oakridge (121),-79.2823029,43.6925621
Assault With Weapon,2016.0,Assault,D52,78,Kensington-Chinatown (78),-79.4000473,43.6579514
B&E,2016.0,Break and Enter,D55,70,South Riverdale (70),-79.3324814,43.6684685
B&E,2016.0,Break and Enter,D32,32,Englemount-Lawrence (32),-79.4331131,43.7266083
Robbery - Mugging,2016.0,Robbery,D51,75,Church-Yonge Corridor (75),-79.3757706,43.6531715
B&E,2016.0,Break and Enter,D43,134,Highland Creek (134),-79.1577835,43.7938499
Assault,2016.0,Assault,D41,126,Dorset Park (126),-79.2757797,43.7519226
Robbery - Mugging,2016.0,Robbery,D53,100,Yonge-Eglinton (100),-79.4070206,43.7066612
Assault,2016.0,Assault,D33,46,Pleasant View (46),-79.3299713,43.7870865
Assault,2016.0,Assault,D33,46,Pleasant View (46),-79.3299713,43.7870865
Assault - Resist/ Prevent Seiz,2016.0,Assault,D33,46,Pleasant View (46),-79.3299713,43.7870865
B&E,2016.0,Break and Enter,D13,108,Briar Hill-Belgravia (108),-79.44144440000002,43.7030563
B&E,2016.0,Break and Enter,D31,23,Pelmo Park-Humberlea (23),-79.5355835,43.7263565
Assault,2016.0,Assault,D12,23,Pelmo Park-Humberlea (23),-79.5315094,43.7140923
B&E,2016.0,Break and Enter,D13,32,Englemount-Lawrence (32),-79.42995450000002,43.7110062
B&E,2016.0,Break and Enter,D32,35,Westminster-Branson (35),-79.44832609999997,43.7833405
Assault - Resist/ Prevent Seiz,2016.0,Assault,D55,70,South Riverdale (70),-79.3409195,43.6611557
B&E,2016.0,Break and Enter,D41,127,Bendale (127),-79.2700272,43.7735939
Discharge Firearm - Recklessly,2016.0,Assault,D13,107,Oakwood Village (107),-79.4413834,43.6885643
B&E,2016.0,Break and Enter,D22,20,Alderwood (20),-79.5453491,43.5940552
B&E W'Intent,2016.0,Break and Enter,D14,95,Annex (95),-79.41398620000002,43.67214970000001
Assault With Weapon,2016.0,Assault,D51,73,Moss Park (73),-79.365654,43.6567955
B&E,2016.0,Break and Enter,D23,8,Humber Heights-Westmount (8),-79.5222321,43.689045
Theft Over,2016.0,Theft Over,D52,76,Bay Street Corridor (76),-79.3848572,43.65454860000001
Assault,2016.0,Assault,D55,63,The Beaches (63),-79.3064728,43.6704369
B&E,2016.0,Break and Enter,D55,63,The Beaches (63),-79.28411870000002,43.67336270000001
Robbery - Business,2016.0,Robbery,D31,22,Humbermede (22),-79.53945159999998,43.7389908
Assault,2016.0,Assault,D32,34,Bathurst Manor (34),-79.4405365,43.75512310000001
Assault Bodily Harm,2016.0,Assault,D51,73,Moss Park (73),-79.365654,43.6567955
B&E,2016.0,Break and Enter,D53,55,Thorncliffe Park (55),-79.3466263,43.7032127
Assault,2016.0,Assault,D23,2,Mount Olive-Silverstone-Jamestown (2),-79.5864182,43.7325096
Robbery - Mugging,2016.0,Robbery,D53,56,Leaside-Bennington (56),-79.36553190000002,43.7040634
Assault,2016.0,Assault,D13,107,Oakwood Village (107),-79.4415054,43.6941986
Robbery - Business,2016.0,Robbery,D31,22,Humbermede (22),-79.53945159999998,43.7389908
Assault,2016.0,Assault,D11,87,High Park-Swansea (87),-79.4477005,43.6428337
Assault,2016.0,Assault,D51,76,Bay Street Corridor (76),-79.38211820000002,43.65909960000001
B&E W'Intent,2016.0,Break and Enter,D11,83,Dufferin Grove (83),-79.4363556,43.6518135
Unlawfully In Dwelling-House,2016.0,Break and Enter,D41,125,Ionview (125),-79.2778625,43.7299652
Robbery - Mugging,2016.0,Robbery,D53,56,Leaside-Bennington (56),-79.36553190000002,43.7040634
Robbery - Other,2016.0,Robbery,D51,74,North St.James Town (74),-79.3744507,43.6688728
Robbery With Weapon,2016.0,Robbery,D55,63,The Beaches (63),-79.2998276,43.6700745
Assault With Weapon,2016.0,Assault,D42,129,Agincourt North (129),-79.2759247,43.8125
Assault Peace Officer,2016.0,Assault,D31,24,Black Creek (24),-79.5177307,43.7572365
B&E,2016.0,Break and Enter,D11,88,High Park North (88),-79.4728317,43.657753
Assault,2016.0,Assault,D43,133,Centennial Scarborough (133),-79.1429291,43.7853088
B&E W'Intent,2016.0,Break and Enter,D32,33,Clanton Park (33),-79.4367447,43.7368164
B&E,2016.0,Break and Enter,D42,132,Malvern (132),-79.2365723,43.788372
B&E,2016.0,Break and Enter,D43,137,Woburn (137),-79.234993,43.7757454
Assault,2016.0,Assault,D41,125,Ionview (125),-79.27284240000002,43.7354279
Assault,2016.0,Assault,D43,137,Woburn (137),-79.2108078,43.7610931
B&E,2016.0,Break and Enter,D33,40,St.Andrew-Windfields (40),-79.3641663,43.76052470000001
B&E,2016.0,Break and Enter,D42,130,Milliken (130),-79.29582979999998,43.8244247
Robbery - Swarming,2016.0,Robbery,D52,78,Kensington-Chinatown (78),-79.3914566,43.654335
Assault,2016.0,Assault,D43,139,Scarborough Village (139),-79.213768,43.7443428
B&E,2016.0,Break and Enter,D43,136,West Hill (136),-79.17192840000001,43.7707672
Assault,2016.0,Assault,D14,93,Dovercourt-Wallace Emerson-Junction (93),-79.42154690000002,43.6716232
Assault - Resist/ Prevent Seiz,2016.0,Assault,D43,136,West Hill (136),-79.1848831,43.76486970000001
Robbery - Mugging,2016.0,Robbery,D23,6,Kingsview Village-The Westway (6),-79.54553220000003,43.700695
Assault,2016.0,Assault,D52,77,Waterfront Communities-The Island (77),-79.3959656,43.6478081
Discharge Firearm With Intent,2016.0,Assault,D51,72,Regent Park (72),-79.36550140000001,43.6581726
Assault With Weapon,2016.0,Assault,D32,26,Downsview-Roding-CFB (26),-79.4589157,43.7320938
B&E W'Intent,2016.0,Break and Enter,D11,83,Dufferin Grove (83),-79.43536379999998,43.6598854
Assault,2016.0,Assault,D52,76,Bay Street Corridor (76),-79.3895035,43.6696701
Assault,2016.0,Assault,D32,27,York University Heights (27),-79.4669266,43.768856
Assault,2016.0,Assault,D43,139,Scarborough Village (139),-79.22032929999997,43.7465439
Assault With Weapon,2016.0,Assault,D43,139,Scarborough Village (139),-79.22468570000002,43.7406693
Assault,2016.0,Assault,D53,103,Lawrence Park South (103),-79.4002304,43.7154579
B&E,2016.0,Break and Enter,D51,71,Cabbagetown-South St.James Town (71),-79.3743515,43.66291810000001
Assault,2016.0,Assault,D41,120,Clairlea-Birchmount (120),-79.2724075,43.7124443
B&E,2016.0,Break and Enter,D22,19,Long Branch (19),-79.52722929999999,43.59299470000001
Assault With Weapon,2016.0,Assault,D41,45,Parkwoods-Donalda (45),-79.3152466,43.7578735
Pointing A Firearm,2016.0,Assault,D41,45,Parkwoods-Donalda (45),-79.3152466,43.7578735
Assault,2016.0,Assault,D23,6,Kingsview Village-The Westway (6),-79.5495682,43.7032852
B&E,2016.0,Break and Enter,D54,59,Danforth East York (59),-79.3488159,43.6894341
Assault,2016.0,Assault,D32,51,Willowdale East (51),-79.4046783,43.7758293
Assault,2016.0,Assault,D51,73,Moss Park (73),-79.3679428,43.6548576
Robbery With Weapon,2016.0,Robbery,D41,122,Birchcliffe-Cliffside (122),-79.2567291,43.7079353
B&E W'Intent,2016.0,Break and Enter,D13,94,Wychwood (94),-79.4250565,43.6801109
Assault,2016.0,Assault,D42,132,Malvern (132),-79.2259445,43.8065643
Assault,2016.0,Assault,D33,42,Banbury-Don Mills (42),-79.35378270000002,43.7297821
Assault,2016.0,Assault,D52,76,Bay Street Corridor (76),-79.3864136,43.6581764
Assault,2016.0,Assault,D54,66,Danforth (66),-79.3131485,43.6865273
Assault,2016.0,Assault,D14,82,Niagara (82),-79.4171066,43.6386528
Theft From Motor Vehicle Over,2016.0,Theft Over,D42,131,Rouge (131),-79.24781800000002,43.8240013
B&E,2016.0,Break and Enter,D51,75,Church-Yonge Corridor (75),-79.3785324,43.65985870000001
Robbery - Swarming,2016.0,Robbery,D11,88,High Park North (88),-79.4714127,43.660305
Aggravated Assault,2016.0,Assault,D11,88,High Park North (88),-79.4714127,43.660305
Robbery - Mugging,2016.0,Robbery,D13,32,Englemount-Lawrence (32),-79.4386444,43.7101097
Assault,2016.0,Assault,D12,115,Mount Dennis (115),-79.5040054,43.6888924
Assault,2016.0,Assault,D41,124,Kennedy Park (124),-79.25260159999998,43.7274628
Assault,2016.0,Assault,D31,21,Humber Summit (21),-79.5427094,43.7533379
Assault,2016.0,Assault,D12,113,Weston (113),-79.5075684,43.6944313
Assault,2016.0,Assault,D54,44,Flemingdon Park (44),-79.3343964,43.70999910000001
B&E,2016.0,Break and Enter,D41,120,Clairlea-Birchmount (120),-79.2608719,43.71484760000001
Assault,2016.0,Assault,D22,11,Eringate-Centennial-West Deane (11),-79.58188630000002,43.6609192
Assault With Weapon,2016.0,Assault,D14,81,Trinity-Bellwoods (81),-79.421196,43.6437263
Assault With Weapon,2016.0,Assault,D14,77,Waterfront Communities-The Island (77),-79.3924332,43.63902279999999
Assault,2016.0,Assault,D14,77,Waterfront Communities-The Island (77),-79.3924332,43.63902279999999
Assault With Weapon,2016.0,Assault,D22,20,Alderwood (20),-79.5429077,43.5965157
Robbery - Home Invasion,2016.0,Robbery,D11,86,Roncesvalles (86),-79.43536379999998,43.644207
B&E,2016.0,Break and Enter,D22,20,Alderwood (20),-79.53015140000002,43.6050987
B&E,2016.0,Break and Enter,D52,76,Bay Street Corridor (76),-79.3802795,43.6486511
B&E,2016.0,Break and Enter,D32,36,Newtonbrook West (36),-79.42018890000001,43.7888489
B&E,2016.0,Break and Enter,D32,32,Englemount-Lawrence (32),-79.4436188,43.7228355
Assault,2016.0,Assault,D42,132,Malvern (132),-79.2209244,43.8055801
Assault,2016.0,Assault,D32,38,Lansing-Westgate (38),-79.411377,43.7632637
Assault,2016.0,Assault,D32,31,Yorkdale-Glen Park (31),-79.4482651,43.7248802
Robbery - Swarming,2016.0,Robbery,D43,136,West Hill (136),-79.18622590000003,43.7684097
Robbery - Mugging,2016.0,Robbery,D22,10,Princess-Rosethorn (10),-79.55323790000001,43.6681442
Assault Bodily Harm,2016.0,Assault,D52,77,Waterfront Communities-The Island (77),-79.3923264,43.6460571
B&E,2016.0,Break and Enter,D42,131,Rouge (131),-79.2179184,43.8228722
Assault,2016.0,Assault,D31,24,Black Creek (24),-79.5187607,43.769165
Assault,2016.0,Assault,D23,2,Mount Olive-Silverstone-Jamestown (2),-79.5803986,43.739727
Assault With Weapon,2016.0,Assault,D12,112,Beechborough-Greenbrook (112),-79.4697189,43.6913643
Assault,2016.0,Assault,D54,54,O'Connor-Parkview (54),-79.3343964,43.70999910000001
Assault,2016.0,Assault,D43,136,West Hill (136),-79.1972733,43.7584534
B&E,2016.0,Break and Enter,D22,16,Stonegate-Queensway (16),-79.5116882,43.6243439
Assault,2016.0,Assault,D32,51,Willowdale East (51),-79.4115677,43.7639999
B&E,2016.0,Break and Enter,D42,117,L'Amoreaux (117),-79.31307220000002,43.7860069
Assault With Weapon,2016.0,Assault,D31,26,Downsview-Roding-CFB (26),-79.50897979999998,43.7223663
Assault,2016.0,Assault,D51,75,Church-Yonge Corridor (75),-79.38136290000001,43.6667061
B&E,2016.0,Break and Enter,D32,36,Newtonbrook West (36),-79.43782809999998,43.78588870000001
Assault,2016.0,Assault,D42,130,Milliken (130),-79.2824097,43.8187981
Assault,2016.0,Assault,D42,132,Malvern (132),-79.22002409999997,43.8103409
Assault,2016.0,Assault,D51,75,Church-Yonge Corridor (75),-79.3794479,43.66889570000001
Assault Peace Officer,2016.0,Assault,D51,75,Church-Yonge Corridor (75),-79.3794479,43.66889570000001
Assault Peace Officer,2016.0,Assault,D51,75,Church-Yonge Corridor (75),-79.3794479,43.66889570000001
Assault,2016.0,Assault,D31,26,Downsview-Roding-CFB (26),-79.5107117,43.72930529999999
Assault With Weapon,2016.0,Assault,D31,26,Downsview-Roding-CFB (26),-79.5107117,43.72930529999999
Assault,2016.0,Assault,D42,132,Malvern (132),-79.2387543,43.7938728
Assault With Weapon,2016.0,Assault,D51,73,Moss Park (73),-79.3565292,43.6573753
Assault,2016.0,Assault,D32,35,Westminster-Branson (35),-79.445755,43.7924118
B&E,2016.0,Break and Enter,D42,117,L'Amoreaux (117),-79.319191,43.7856369
Assault - Resist/ Prevent Seiz,2016.0,Assault,D52,76,Bay Street Corridor (76),-79.37997440000002,43.65406420000001
Assault - Resist/ Prevent Seiz,2016.0,Assault,D52,76,Bay Street Corridor (76),-79.37997440000002,43.65406420000001
Assault - Resist/ Prevent Seiz,2016.0,Assault,D52,76,Bay Street Corridor (76),-79.37997440000002,43.65406420000001
Assault,2016.0,Assault,D53,98,Rosedale-Moore Park (98),-79.3926468,43.6884079
Robbery With Weapon,2016.0,Robbery,D51,74,North St.James Town (74),-79.3744507,43.6688728
Assault Peace Officer,2016.0,Assault,D52,78,Kensington-Chinatown (78),-79.3903809,43.654506700000006
Assault,2016.0,Assault,D22,18,New Toronto (18),-79.5202408,43.5974464
B&E,2016.0,Break and Enter,D14,81,Trinity-Bellwoods (81),-79.4070969,43.6483574
Assault With Weapon,2016.0,Assault,D23,2,Mount Olive-Silverstone-Jamestown (2),-79.5933151,43.741787
Assault,2016.0,Assault,D54,54,O'Connor-Parkview (54),-79.2970734,43.6982498
Assault With Weapon,2016.0,Assault,D14,78,Kensington-Chinatown (78),-79.3974152,43.6485405
Assault,2016.0,Assault,D42,132,Malvern (132),-79.2241745,43.80396270000001
Assault,2016.0,Assault,D54,62,East End-Danforth (62),-79.2978973,43.6890411
B&E,2016.0,Break and Enter,D54,61,Taylor-Massey (61),-79.3034821,43.69513320000001
Assault,2016.0,Assault,D23,2,Mount Olive-Silverstone-Jamestown (2),-79.5933151,43.741787
B&E,2016.0,Break and Enter,D41,121,Oakridge (121),-79.2840805,43.6939468
Assault Bodily Harm,2016.0,Assault,D55,64,Woodbine Corridor (64),-79.31190490000002,43.68037800000001
B&E,2016.0,Break and Enter,D42,128,Agincourt South-Malvern West (128),-79.2489777,43.7917442
Discharge Firearm - Recklessly,2016.0,Assault,D22,9,Edenbridge-Humber Valley (9),-79.5098114,43.6798973
Assault,2016.0,Assault,D33,47,Don Valley Village (47),-79.3530273,43.7873497
Assault,2016.0,Assault,D12,91,Weston-Pellam Park (91),-79.4576492,43.67472460000001
Robbery - Mugging,2016.0,Robbery,D54,64,Woodbine Corridor (64),-79.3152695,43.685154
Assault,2016.0,Assault,D14,77,Waterfront Communities-The Island (77),-79.3944321,43.6402054
Assault Bodily Harm,2016.0,Assault,D55,64,Woodbine Corridor (64),-79.31190490000002,43.68037800000001
Theft From Motor Vehicle Over,2016.0,Theft Over,D54,62,East End-Danforth (62),-79.2949219,43.6897202
Theft Over,2016.0,Theft Over,D32,31,Yorkdale-Glen Park (31),-79.4482651,43.7248802
Robbery - Business,2016.0,Robbery,D43,138,Eglinton East (138),-79.2326126,43.7416115
B&E,2016.0,Break and Enter,D32,40,St.Andrew-Windfields (40),-79.40422059999999,43.7462807
B&E,2016.0,Break and Enter,D32,105,Lawrence Park North (105),-79.403183,43.7339325
B&E,2016.0,Break and Enter,D23,1,West Humber-Clairville (1),-79.5878525,43.6776695
B&E,2016.0,Break and Enter,D41,121,Oakridge (121),-79.2838745,43.6922188
Assault,2016.0,Assault,D31,24,Black Creek (24),-79.5154495,43.7632332
B&E,2016.0,Break and Enter,D11,86,Roncesvalles (86),-79.4493942,43.6472054
B&E,2016.0,Break and Enter,D42,118,Tam O'Shanter-Sullivan (118),-79.2913361,43.77528
Assault,2016.0,Assault,D32,36,Newtonbrook West (36),-79.4379501,43.7905693
Assault With Weapon,2016.0,Assault,D53,103,Lawrence Park South (103),-79.40159609999998,43.7219734
Assault,2016.0,Assault,D32,51,Willowdale East (51),-79.4093781,43.760334
Robbery - Other,2016.0,Robbery,D33,45,Parkwoods-Donalda (45),-79.347229,43.7617531
Robbery - Purse Snatch,2016.0,Robbery,D52,76,Bay Street Corridor (76),-79.38357540000001,43.6479263
Assault,2016.0,Assault,D54,61,Taylor-Massey (61),-79.3034821,43.69513320000001
Robbery - Business,2016.0,Robbery,D13,109,Caledonia-Fairbank (109),-79.448143,43.6850243
Assault,2016.0,Assault,D32,39,Bedford Park-Nortown (39),-79.406723,43.7441521
Discharge Firearm - Recklessly,2016.0,Assault,D31,21,Humber Summit (21),-79.569725,43.75877379999999
Assault With Weapon,2016.0,Assault,D14,77,Waterfront Communities-The Island (77),-79.4006348,43.6457329
Assault With Weapon,2016.0,Assault,D14,77,Waterfront Communities-The Island (77),-79.4006348,43.6457329
Theft Over - Shoplifting,2016.0,Theft Over,D42,118,Tam O'Shanter-Sullivan (118),-79.2934647,43.7821198
Theft From Motor Vehicle Over,2016.0,Theft Over,D52,78,Kensington-Chinatown (78),-79.39028929999998,43.65150070000001
Assault - Resist/ Prevent Seiz,2016.0,Assault,D42,118,Tam O'Shanter-Sullivan (118),-79.2934647,43.7821198
Theft From Motor Vehicle Over,2016.0,Theft Over,D55,65,Greenwood-Coxwell (65),-79.3238983,43.6742897
Assault,2016.0,Assault,D23,6,Kingsview Village-The Westway (6),-79.5521545,43.695797
B&E,2016.0,Break and Enter,D23,2,Mount Olive-Silverstone-Jamestown (2),-79.590126,43.7374535
Robbery - Other,2016.0,Robbery,D54,54,O'Connor-Parkview (54),-79.297287,43.7022209
B&E,2016.0,Break and Enter,D14,95,Annex (95),-79.4059067,43.6687851
B&E,2016.0,Break and Enter,D43,123,Cliffcrest (123),-79.2414474,43.7208786
Assault,2016.0,Assault,D41,121,Oakridge (121),-79.2890244,43.6928711
B&E,2016.0,Break and Enter,D41,127,Bendale (127),-79.25552370000003,43.7418098
Assault,2016.0,Assault,D14,85,South Parkdale (85),-79.4252853,43.6408386
Assault,2016.0,Assault,D11,114,Lambton Baby Point (114),-79.4844818,43.649334
B&E,2016.0,Break and Enter,D52,76,Bay Street Corridor (76),-79.38718409999998,43.6643715
Robbery - Business,2016.0,Robbery,D42,130,Milliken (130),-79.286293,43.8037529
B&E,2016.0,Break and Enter,D11,88,High Park North (88),-79.4668503,43.6572304
Robbery - Financial Institute,2016.0,Robbery,D11,87,High Park-Swansea (87),-79.4790878,43.6505051
Assault,2016.0,Assault,D22,17,Mimico (includes Humber Bay Shores) (17),-79.4812088,43.6229706
Robbery - Home Invasion,2016.0,Robbery,D14,78,Kensington-Chinatown (78),-79.3986816,43.6520615
B&E,2016.0,Break and Enter,D14,93,Dovercourt-Wallace Emerson-Junction (93),-79.4339447,43.6694717
Assault,2016.0,Assault,D31,26,Downsview-Roding-CFB (26),-79.5086365,43.7209167
Assault,2016.0,Assault,D23,4,Rexdale-Kipling (4),-79.5568619,43.71401210000001
Assault,2016.0,Assault,D55,70,South Riverdale (70),-79.35051729999998,43.6604767
Robbery - Mugging,2016.0,Robbery,D42,131,Rouge (131),-79.20313259999998,43.81600570000001
B&E,2016.0,Break and Enter,D11,88,High Park North (88),-79.4652481,43.657547
